------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'chrome.exe', 'pid': 3720, 'username': 'BHAVESH\\ahire', 'vms': 507.1875}
{'name': 'svchost.exe', 'pid': 3764, 'username': None, 'vms': 3.80859375}
{'name': 'svchost.exe', 'pid': 3824, 'username': None, 'vms': 1.46484375}
{'name': 'svchost.exe', 'pid': 3836, 'username': None, 'vms': 3.23828125}
{'name': 'svchost.exe', 'pid': 3844, 'username': None, 'vms': 2.125}
{'name': 'dasHost.exe', 'pid': 3888, 'username': None, 'vms': 4.8359375}
{'name': 'svchost.exe', 'pid': 3940, 'username': None, 'vms': 2.30859375}
{'name': 'MemCompression', 'pid': 4048, 'username': None, 'vms': 2.1328125}
{'name': 'msedgewebview2.exe', 'pid': 4060, 'username': 'BHAVESH\\ahire', 'vms': 12.4375}
{'name': 'svchost.exe', 'pid': 4164, 'username': None, 'vms': 3.5625}
{'name': 'msedgewebview2.exe', 'pid': 4188, 'username': 'BHAVESH\\ahire', 'vms': 2.3203125}
{'name': 'svchost.exe', 'pid': 4196, 'username': None, 'vms': 2.20703125}
{'name': 'TouchpointAnalyticsClientService.exe', 'pid': 4216, 'username': None, 'vms': 86.0234375}
{'name': 'ShellExperienceHost.exe', 'pid': 4260, 'username': 'BHAVESH\\ahire', 'vms': 41.88671875}
{'name': 'chrome.exe', 'pid': 4264, 'username': 'BHAVESH\\ahire', 'vms': 124.90625}
{'name': 'NetworkCap.exe', 'pid': 4276, 'username': None, 'vms': 3.703125}
{'name': 'AppHelperCap.exe', 'pid': 4284, 'username': None, 'vms': 8.16015625}
{'name': 'SysInfoCap.exe', 'pid': 4288, 'username': None, 'vms': 13.11328125}
{'name': 'DiagsCap.exe', 'pid': 4300, 'username': None, 'vms': 29.1171875}
{'name': 'chrome.exe', 'pid': 4364, 'username': 'BHAVESH\\ahire', 'vms': 30.9296875}
{'name': 'svchost.exe', 'pid': 4516, 'username': None, 'vms': 32.56640625}
{'name': 'svchost.exe', 'pid': 4628, 'username': None, 'vms': 5.21875}
{'name': 'msedge.exe', 'pid': 4676, 'username': 'BHAVESH\\ahire', 'vms': 54.359375}
{'name': 'msedgewebview2.exe', 'pid': 4800, 'username': 'BHAVESH\\ahire', 'vms': 270.66015625}
{'name': 'RuntimeBroker.exe', 'pid': 4816, 'username': 'BHAVESH\\ahire', 'vms': 2.5546875}
{'name': 'svchost.exe', 'pid': 4824, 'username': None, 'vms': 14.75390625}
{'name': 'msedgewebview2.exe', 'pid': 4940, 'username': 'BHAVESH\\ahire', 'vms': 8.69140625}
{'name': 'svchost.exe', 'pid': 4952, 'username': None, 'vms': 2.43359375}
{'name': 'svchost.exe', 'pid': 5068, 'username': None, 'vms': 1.6484375}
{'name': 'svchost.exe', 'pid': 5228, 'username': None, 'vms': 2.421875}
{'name': 'svchost.exe', 'pid': 5296, 'username': None, 'vms': 8.4296875}
{'name': 'svchost.exe', 'pid': 5324, 'username': None, 'vms': 3.8984375}
{'name': 'spoolsv.exe', 'pid': 5352, 'username': None, 'vms': 5.7890625}
{'name': 'svchost.exe', 'pid': 5388, 'username': None, 'vms': 15.40234375}
{'name': 'svchost.exe', 'pid': 5452, 'username': None, 'vms': 1.8828125}
{'name': 'svchost.exe', 'pid': 5532, 'username': None, 'vms': 6.2734375}
{'name': 'cmd.exe', 'pid': 5632, 'username': 'BHAVESH\\ahire', 'vms': 1.89453125}
{'name': 'ipf_uf.exe', 'pid': 5636, 'username': None, 'vms': 2.13671875}
{'name': 'armsvc.exe', 'pid': 5644, 'username': None, 'vms': 1.76171875}
{'name': 'svchost.exe', 'pid': 5652, 'username': None, 'vms': 2.55078125}
{'name': 'svchost.exe', 'pid': 5660, 'username': None, 'vms': 27.61328125}
{'name': 'svchost.exe', 'pid': 5668, 'username': None, 'vms': 3.02734375}
{'name': 'IntelAudioService.exe', 'pid': 5680, 'username': None, 'vms': 38.65234375}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 5688, 'username': None, 'vms': 33.078125}
{'name': 'ETDService.exe', 'pid': 5696, 'username': None, 'vms': 1.5078125}
{'name': 'HPCommRecovery.exe', 'pid': 5704, 'username': None, 'vms': 23.22265625}
{'name': 'jhi_service.exe', 'pid': 5712, 'username': None, 'vms': 1.38671875}
{'name': 'HPPrintScanDoctorService.exe', 'pid': 5720, 'username': None, 'vms': 1.921875}
{'name': 'ipfsvc.exe', 'pid': 5732, 'username': None, 'vms': 1.57421875}
{'name': 'servicehost.exe', 'pid': 5752, 'username': None, 'vms': 22.63671875}
{'name': 'svchost.exe', 'pid': 5764, 'username': None, 'vms': 26.41015625}
{'name': 'OfficeClickToRun.exe', 'pid': 5800, 'username': None, 'vms': 31.43359375}
{'name': 'mc-fw-host.exe', 'pid': 5808, 'username': None, 'vms': 255.5}
{'name': 'MpDefenderCoreService.exe', 'pid': 5828, 'username': None, 'vms': 11.83984375}
{'name': 'RtkAudUService64.exe', 'pid': 5848, 'username': None, 'vms': 29.6953125}
{'name': 'RtkBtManServ.exe', 'pid': 5856, 'username': None, 'vms': 2.1796875}
{'name': 'SECOMN64.exe', 'pid': 5924, 'username': None, 'vms': 7.75}
{'name': 'msedgewebview2.exe', 'pid': 5936, 'username': 'BHAVESH\\ahire', 'vms': 8.35546875}
{'name': 'svchost.exe', 'pid': 5968, 'username': None, 'vms': 1.34375}
{'name': 'svchost.exe', 'pid': 5992, 'username': None, 'vms': 1.73046875}
{'name': 'mc-neo-host.exe', 'pid': 6108, 'username': None, 'vms': 19.33984375}
{'name': 'svchost.exe', 'pid': 6116, 'username': None, 'vms': 12.69140625}
{'name': 'MsMpEng.exe', 'pid': 6140, 'username': None, 'vms': 247.875}
{'name': 'svchost.exe', 'pid': 6200, 'username': None, 'vms': 4.72265625}
{'name': 'svchost.exe', 'pid': 6208, 'username': None, 'vms': 1.80078125}
{'name': 'WMIRegistrationService.exe', 'pid': 6216, 'username': None, 'vms': 2.95703125}
{'name': 'svchost.exe', 'pid': 6244, 'username': None, 'vms': 2.40234375}
{'name': 'XtuService.exe', 'pid': 6280, 'username': None, 'vms': 59.94921875}
{'name': 'SearchProtocolHost.exe', 'pid': 6328, 'username': None, 'vms': 2.50390625}
{'name': 'ApplicationFrameHost.exe', 'pid': 6804, 'username': 'BHAVESH\\ahire', 'vms': 53.9296875}
{'name': 'powershell.exe', 'pid': 6816, 'username': 'BHAVESH\\ahire', 'vms': 56.62890625}
{'name': 'svchost.exe', 'pid': 7256, 'username': None, 'vms': 2.76171875}
{'name': 'ms-teams.exe', 'pid': 7336, 'username': 'BHAVESH\\ahire', 'vms': 70.734375}
{'name': 'NgcIso.exe', 'pid': 7720, 'username': None, 'vms': 1.2421875}
{'name': 'svchost.exe', 'pid': 7732, 'username': None, 'vms': 1.5390625}
{'name': 'uihost.exe', 'pid': 7896, 'username': 'BHAVESH\\ahire', 'vms': 19.43359375}
{'name': 'RuntimeBroker.exe', 'pid': 7928, 'username': 'BHAVESH\\ahire', 'vms': 3.0546875}
{'name': 'unsecapp.exe', 'pid': 8260, 'username': None, 'vms': 1.765625}
{'name': 'svchost.exe', 'pid': 8744, 'username': None, 'vms': 1.7421875}
{'name': 'Code.exe', 'pid': 8840, 'username': 'BHAVESH\\ahire', 'vms': 14.2734375}
{'name': 'SecurityHealthSystray.exe', 'pid': 8964, 'username': 'BHAVESH\\ahire', 'vms': 2.0078125}
{'name': 'sihost.exe', 'pid': 9012, 'username': 'BHAVESH\\ahire', 'vms': 8.453125}
{'name': 'msedgewebview2.exe', 'pid': 9164, 'username': 'BHAVESH\\ahire', 'vms': 77.390625}
{'name': 'WmiPrvSE.exe', 'pid': 9244, 'username': None, 'vms': 5.5078125}
{'name': 'svchost.exe', 'pid': 9416, 'username': None, 'vms': 30.36328125}
{'name': 'svchost.exe', 'pid': 9472, 'username': None, 'vms': 13.859375}
{'name': 'svchost.exe', 'pid': 9540, 'username': 'BHAVESH\\ahire', 'vms': 2.50390625}
{'name': 'mc-fw-host.exe', 'pid': 9548, 'username': 'BHAVESH\\ahire', 'vms': 10.30078125}
{'name': 'AggregatorHost.exe', 'pid': 9740, 'username': None, 'vms': 5.08984375}
{'name': 'chrome.exe', 'pid': 9756, 'username': 'BHAVESH\\ahire', 'vms': 11.62109375}
{'name': 'RtkAudUService64.exe', 'pid': 9860, 'username': None, 'vms': 25.77734375}
{'name': 'chrome.exe', 'pid': 9920, 'username': 'BHAVESH\\ahire', 'vms': 153.14453125}
