------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.04296875}
{'pid': 188, 'name': '', 'username': None, 'vms': 0.171875}
{'pid': 232, 'name': 'Registry', 'username': None, 'vms': 27.9609375}
{'pid': 800, 'name': 'smss.exe', 'username': None, 'vms': 1.140625}
{'pid': 960, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'pid': 964, 'name': 'svchost.exe', 'username': None, 'vms': 1.90234375}
{'pid': 1072, 'name': 'mc-extn-browserhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 5.3359375}
{'pid': 1208, 'name': 'TiWorker.exe', 'username': None, 'vms': 198.96484375}
{'pid': 1364, 'name': 'csrss.exe', 'username': None, 'vms': 2.43359375}
{'pid': 1452, 'name': 'wininit.exe', 'username': None, 'vms': 1.44921875}
{'pid': 1460, 'name': 'csrss.exe', 'username': None, 'vms': 2.9375}
{'pid': 1520, 'name': 'winlogon.exe', 'username': None, 'vms': 2.7109375}
{'pid': 1596, 'name': 'services.exe', 'username': None, 'vms': 5.8359375}
{'pid': 1604, 'name': 'LsaIso.exe', 'username': None, 'vms': 1.30078125}
{'pid': 1624, 'name': 'lsass.exe', 'username': None, 'vms': 12.4609375}
{'pid': 1636, 'name': 'dwm.exe', 'username': None, 'vms': 176.39453125}
{'pid': 1764, 'name': 'svchost.exe', 'username': None, 'vms': 13.69140625}
{'pid': 1796, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.7421875}
{'pid': 1800, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 2.015625}
{'pid': 1872, 'name': 'WUDFHost.exe', 'username': None, 'vms': 5.49609375}
{'pid': 1900, 'name': 'HP.myHP.exe', 'username': 'BHAVESH\\ahire', 'vms': 53.2109375}
{'pid': 1944, 'name': 'svchost.exe', 'username': None, 'vms': 10.2734375}
{'pid': 1996, 'name': 'svchost.exe', 'username': None, 'vms': 3.1328125}
{'pid': 2076, 'name': 'WUDFHost.exe', 'username': None, 'vms': 8.8046875}
{'pid': 2148, 'name': 'ms-teams.exe', 'username': 'BHAVESH\\ahire', 'vms': 24.06640625}
{'pid': 2168, 'name': 'svchost.exe', 'username': None, 'vms': 1.26953125}
{'pid': 2176, 'name': 'svchost.exe', 'username': None, 'vms': 1.89453125}
{'pid': 2200, 'name': 'svchost.exe', 'username': None, 'vms': 2.41015625}
{'pid': 2248, 'name': 'OmenCommandCenterBackground.exe', 'username': 'BHAVESH\\ahire', 'vms': 236.8359375}
{'pid': 2280, 'name': 'SDXHelper.exe', 'username': 'BHAVESH\\ahire', 'vms': 15.84375}
{'pid': 2324, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 10.75390625}
{'pid': 2452, 'name': 'svchost.exe', 'username': None, 'vms': 4.16796875}
{'pid': 2460, 'name': 'svchost.exe', 'username': None, 'vms': 7.97265625}
{'pid': 2468, 'name': 'svchost.exe', 'username': None, 'vms': 3.3125}
{'pid': 2476, 'name': 'svchost.exe', 'username': None, 'vms': 2.40234375}
{'pid': 2484, 'name': 'svchost.exe', 'username': None, 'vms': 3.67578125}
{'pid': 2492, 'name': 'svchost.exe', 'username': None, 'vms': 3.01953125}
{'pid': 2600, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 3.25390625}
{'pid': 2668, 'name': 'WUDFHost.exe', 'username': None, 'vms': 4.33203125}
{'pid': 2676, 'name': 'svchost.exe', 'username': None, 'vms': 3.81640625}
{'pid': 2688, 'name': 'AdobeCollabSync.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.0078125}
{'pid': 2692, 'name': 'svchost.exe', 'username': None, 'vms': 6.96484375}
{'pid': 2732, 'name': 'svchost.exe', 'username': None, 'vms': 6.71875}
{'pid': 2752, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 46.5859375}
{'pid': 2776, 'name': 'IntelCpHDCPSvc.exe', 'username': None, 'vms': 1.484375}
{'pid': 2800, 'name': 'svchost.exe', 'username': None, 'vms': 2.9140625}
{'pid': 2820, 'name': 'svchost.exe', 'username': None, 'vms': 2.5546875}
{'pid': 2848, 'name': 'svchost.exe', 'username': None, 'vms': 1.61328125}
{'pid': 2864, 'name': 'svchost.exe', 'username': None, 'vms': 2.48828125}
{'pid': 2868, 'name': 'svchost.exe', 'username': None, 'vms': 2.578125}
{'pid': 2936, 'name': 'svchost.exe', 'username': None, 'vms': 1.734375}
{'pid': 3068, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.12109375}
{'pid': 3200, 'name': 'svchost.exe', 'username': None, 'vms': 3.39453125}
{'pid': 3288, 'name': 'svchost.exe', 'username': None, 'vms': 2.0546875}
{'pid': 3364, 'name': 'svchost.exe', 'username': None, 'vms': 2.67578125}
{'pid': 3372, 'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'vms': 6.421875}
{'pid': 3480, 'name': 'svchost.exe', 'username': None, 'vms': 3.08984375}
{'pid': 3588, 'name': 'svchost.exe', 'username': None, 'vms': 2.4140625}
{'pid': 3680, 'name': 'svchost.exe', 'username': None, 'vms': 2.42578125}
{'pid': 3700, 'name': 'svchost.exe', 'username': None, 'vms': 16.2421875}
{'pid': 3764, 'name': 'svchost.exe', 'username': None, 'vms': 3.8046875}
{'pid': 3824, 'name': 'svchost.exe', 'username': None, 'vms': 1.46484375}
{'pid': 3836, 'name': 'svchost.exe', 'username': None, 'vms': 3.40625}
{'pid': 3844, 'name': 'svchost.exe', 'username': None, 'vms': 2.12890625}
{'pid': 3888, 'name': 'dasHost.exe', 'username': None, 'vms': 4.8359375}
{'pid': 3940, 'name': 'svchost.exe', 'username': None, 'vms': 2.30859375}
{'pid': 4048, 'name': 'MemCompression', 'username': None, 'vms': 2.1484375}
{'pid': 4060, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 12.42578125}
{'pid': 4164, 'name': 'svchost.exe', 'username': None, 'vms': 3.578125}
{'pid': 4188, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.2734375}
{'pid': 4196, 'name': 'svchost.exe', 'username': None, 'vms': 2.2109375}
{'pid': 4216, 'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'vms': 87.1640625}
{'pid': 4260, 'name': 'ShellExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 44.578125}
{'pid': 4276, 'name': 'NetworkCap.exe', 'username': None, 'vms': 3.71875}
{'pid': 4284, 'name': 'AppHelperCap.exe', 'username': None, 'vms': 8.34765625}
{'pid': 4288, 'name': 'SysInfoCap.exe', 'username': None, 'vms': 12.29296875}
{'pid': 4300, 'name': 'DiagsCap.exe', 'username': None, 'vms': 29.1171875}
{'pid': 4516, 'name': 'svchost.exe', 'username': None, 'vms': 32.70703125}
{'pid': 4608, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 85.65625}
