------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.04296875}
{'name': '', 'pid': 188, 'username': None, 'vms': 0.171875}
{'name': 'Registry', 'pid': 232, 'username': None, 'vms': 40.37109375}
{'name': 'smss.exe', 'pid': 800, 'username': None, 'vms': 1.140625}
{'name': 'RuntimeBroker.exe', 'pid': 960, 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'name': 'svchost.exe', 'pid': 964, 'username': None, 'vms': 1.90234375}
{'name': 'cmd.exe', 'pid': 968, 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'name': 'conhost.exe', 'pid': 1232, 'username': 'BHAVESH\\ahire', 'vms': 1.703125}
{'name': 'csrss.exe', 'pid': 1364, 'username': None, 'vms': 2.43359375}
{'name': 'wininit.exe', 'pid': 1452, 'username': None, 'vms': 1.44921875}
{'name': 'csrss.exe', 'pid': 1460, 'username': None, 'vms': 2.94140625}
{'name': 'winlogon.exe', 'pid': 1520, 'username': None, 'vms': 2.7109375}
{'name': 'powershell.exe', 'pid': 1572, 'username': 'BHAVESH\\ahire', 'vms': 69.078125}
{'name': 'services.exe', 'pid': 1596, 'username': None, 'vms': 5.921875}
{'name': 'LsaIso.exe', 'pid': 1604, 'username': None, 'vms': 1.28515625}
{'name': 'lsass.exe', 'pid': 1624, 'username': None, 'vms': 12.53515625}
{'name': 'dwm.exe', 'pid': 1636, 'username': None, 'vms': 182.09375}
{'name': 'VSSVC.exe', 'pid': 1748, 'username': None, 'vms': 2.2734375}
{'name': 'svchost.exe', 'pid': 1764, 'username': None, 'vms': 13.8359375}
{'name': 'fontdrvhost.exe', 'pid': 1796, 'username': None, 'vms': 1.7421875}
{'name': 'fontdrvhost.exe', 'pid': 1800, 'username': None, 'vms': 2.015625}
{'name': 'WUDFHost.exe', 'pid': 1872, 'username': None, 'vms': 5.49609375}
{'name': 'HP.myHP.exe', 'pid': 1900, 'username': 'BHAVESH\\ahire', 'vms': 53.2109375}
{'name': 'svchost.exe', 'pid': 1944, 'username': None, 'vms': 10.47265625}
{'name': 'powershell.exe', 'pid': 1960, 'username': 'BHAVESH\\ahire', 'vms': 70.77734375}
{'name': 'svchost.exe', 'pid': 1996, 'username': None, 'vms': 3.125}
{'name': 'svchost.exe', 'pid': 2072, 'username': None, 'vms': 1.81640625}
{'name': 'WUDFHost.exe', 'pid': 2076, 'username': None, 'vms': 8.77734375}
{'name': 'ms-teams.exe', 'pid': 2148, 'username': 'BHAVESH\\ahire', 'vms': 24.015625}
{'name': 'svchost.exe', 'pid': 2168, 'username': None, 'vms': 1.26953125}
{'name': 'svchost.exe', 'pid': 2176, 'username': None, 'vms': 1.828125}
{'name': 'svchost.exe', 'pid': 2200, 'username': None, 'vms': 2.34765625}
{'name': 'OmenCommandCenterBackground.exe', 'pid': 2248, 'username': 'BHAVESH\\ahire', 'vms': 236.140625}
{'name': 'SDXHelper.exe', 'pid': 2280, 'username': 'BHAVESH\\ahire', 'vms': 14.6015625}
{'name': 'svchost.exe', 'pid': 2324, 'username': 'BHAVESH\\ahire', 'vms': 10.70703125}
{'name': 'svchost.exe', 'pid': 2452, 'username': None, 'vms': 4.09765625}
{'name': 'svchost.exe', 'pid': 2460, 'username': None, 'vms': 8.015625}
{'name': 'svchost.exe', 'pid': 2468, 'username': None, 'vms': 3.3125}
{'name': 'svchost.exe', 'pid': 2476, 'username': None, 'vms': 2.4375}
{'name': 'svchost.exe', 'pid': 2484, 'username': None, 'vms': 3.5859375}
{'name': 'svchost.exe', 'pid': 2492, 'username': None, 'vms': 3.02734375}
{'name': 'chrome.exe', 'pid': 2500, 'username': 'BHAVESH\\ahire', 'vms': 155.87109375}
{'name': 'conhost.exe', 'pid': 2508, 'username': 'BHAVESH\\ahire', 'vms': 1.70703125}
{'name': 'svchost.exe', 'pid': 2600, 'username': 'BHAVESH\\ahire', 'vms': 3.16796875}
{'name': 'WUDFHost.exe', 'pid': 2668, 'username': None, 'vms': 4.33203125}
{'name': 'svchost.exe', 'pid': 2676, 'username': None, 'vms': 3.859375}
{'name': 'AdobeCollabSync.exe', 'pid': 2688, 'username': 'BHAVESH\\ahire', 'vms': 8.0078125}
{'name': 'svchost.exe', 'pid': 2692, 'username': None, 'vms': 6.94140625}
{'name': 'svchost.exe', 'pid': 2732, 'username': None, 'vms': 6.82421875}
{'name': 'msedgewebview2.exe', 'pid': 2752, 'username': 'BHAVESH\\ahire', 'vms': 46.69921875}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 2776, 'username': None, 'vms': 1.484375}
{'name': 'svchost.exe', 'pid': 2800, 'username': None, 'vms': 2.83203125}
{'name': 'svchost.exe', 'pid': 2820, 'username': None, 'vms': 2.66015625}
{'name': 'svchost.exe', 'pid': 2848, 'username': None, 'vms': 1.546875}
