------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 3720, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 507.1875}
{'pid': 3764, 'name': 'svchost.exe', 'username': None, 'vms': 3.80859375}
{'pid': 3824, 'name': 'svchost.exe', 'username': None, 'vms': 1.46484375}
{'pid': 3836, 'name': 'svchost.exe', 'username': None, 'vms': 3.328125}
{'pid': 3844, 'name': 'svchost.exe', 'username': None, 'vms': 2.0625}
{'pid': 3888, 'name': 'dasHost.exe', 'username': None, 'vms': 4.8359375}
{'pid': 3940, 'name': 'svchost.exe', 'username': None, 'vms': 2.24609375}
{'pid': 4048, 'name': 'MemCompression', 'username': None, 'vms': 2.2265625}
{'pid': 4060, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 12.421875}
{'pid': 4164, 'name': 'svchost.exe', 'username': None, 'vms': 3.5}
{'pid': 4188, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.2734375}
{'pid': 4196, 'name': 'svchost.exe', 'username': None, 'vms': 2.29296875}
{'pid': 4216, 'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'vms': 86.48046875}
{'pid': 4260, 'name': 'ShellExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 41.88671875}
{'pid': 4264, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 114.9453125}
{'pid': 4276, 'name': 'NetworkCap.exe', 'username': None, 'vms': 3.703125}
{'pid': 4284, 'name': 'AppHelperCap.exe', 'username': None, 'vms': 8.16015625}
{'pid': 4288, 'name': 'SysInfoCap.exe', 'username': None, 'vms': 13.046875}
{'pid': 4300, 'name': 'DiagsCap.exe', 'username': None, 'vms': 29.1171875}
{'pid': 4516, 'name': 'svchost.exe', 'username': None, 'vms': 32.8671875}
{'pid': 4628, 'name': 'svchost.exe', 'username': None, 'vms': 5.3515625}
{'pid': 4676, 'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'vms': 54.265625}
{'pid': 4800, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 270.91015625}
{'pid': 4816, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.625}
{'pid': 4824, 'name': 'svchost.exe', 'username': None, 'vms': 17.171875}
{'pid': 4940, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.703125}
{'pid': 4952, 'name': 'svchost.exe', 'username': None, 'vms': 2.37109375}
{'pid': 5068, 'name': 'svchost.exe', 'username': None, 'vms': 1.58203125}
{'pid': 5228, 'name': 'svchost.exe', 'username': None, 'vms': 2.5234375}
{'pid': 5296, 'name': 'svchost.exe', 'username': None, 'vms': 8.50390625}
{'pid': 5324, 'name': 'svchost.exe', 'username': None, 'vms': 3.828125}
{'pid': 5352, 'name': 'spoolsv.exe', 'username': None, 'vms': 5.7890625}
{'pid': 5388, 'name': 'svchost.exe', 'username': None, 'vms': 15.40234375}
{'pid': 5452, 'name': 'svchost.exe', 'username': None, 'vms': 1.85546875}
{'pid': 5532, 'name': 'svchost.exe', 'username': None, 'vms': 6.68359375}
{'pid': 5632, 'name': 'cmd.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.89453125}
{'pid': 5636, 'name': 'ipf_uf.exe', 'username': None, 'vms': 2.13671875}
{'pid': 5644, 'name': 'armsvc.exe', 'username': None, 'vms': 1.76171875}
{'pid': 5652, 'name': 'svchost.exe', 'username': None, 'vms': 2.55078125}
{'pid': 5660, 'name': 'svchost.exe', 'username': None, 'vms': 27.82421875}
{'pid': 5668, 'name': 'svchost.exe', 'username': None, 'vms': 3.0234375}
{'pid': 5680, 'name': 'IntelAudioService.exe', 'username': None, 'vms': 38.65234375}
{'pid': 5688, 'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'vms': 33.125}
