------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 3720, 'vms': 507.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 3764, 'vms': 3.8046875}
{'name': 'svchost.exe', 'username': None, 'pid': 3824, 'vms': 1.46484375}
{'name': 'svchost.exe', 'username': None, 'pid': 3836, 'vms': 3.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 3844, 'vms': 2.44140625}
{'name': 'dasHost.exe', 'username': None, 'pid': 3888, 'vms': 4.8359375}
{'name': 'svchost.exe', 'username': None, 'pid': 3940, 'vms': 2.24609375}
{'name': 'MemCompression', 'username': None, 'pid': 4048, 'vms': 2.2265625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 4060, 'vms': 12.484375}
{'name': 'svchost.exe', 'username': None, 'pid': 4164, 'vms': 3.515625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 4188, 'vms': 2.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4196, 'vms': 2.140625}
{'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'pid': 4216, 'vms': 86.33984375}
{'name': 'ShellExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 4260, 'vms': 44.578125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 4264, 'vms': 126.74609375}
{'name': 'NetworkCap.exe', 'username': None, 'pid': 4276, 'vms': 3.71875}
{'name': 'AppHelperCap.exe', 'username': None, 'pid': 4284, 'vms': 8.4296875}
{'name': 'SysInfoCap.exe', 'username': None, 'pid': 4288, 'vms': 12.26953125}
{'name': 'DiagsCap.exe', 'username': None, 'pid': 4300, 'vms': 29.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4516, 'vms': 32.67578125}
{'name': 'svchost.exe', 'username': None, 'pid': 4628, 'vms': 5.35546875}
{'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'pid': 4732, 'vms': 17.69921875}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 4800, 'vms': 270.32421875}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 4816, 'vms': 2.55859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4824, 'vms': 15.40625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 4940, 'vms': 8.703125}
{'name': 'svchost.exe', 'username': None, 'pid': 4952, 'vms': 2.38671875}
{'name': 'svchost.exe', 'username': None, 'pid': 5068, 'vms': 1.58203125}
{'name': 'svchost.exe', 'username': None, 'pid': 5228, 'vms': 2.421875}
